"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
2147.64978027169,2055.06194247215,2240.23761807122,2006.0489017956,2289.25065874778
2091.04949040541,1865.68723028855,2316.41175052227,1746.38765612652,2435.7113246843
2129.88716537523,1780.48036645232,2479.29396429814,1595.51557998271,2664.25875076775
2235.30153910673,1786.29874934156,2684.3043288719,1548.61103007226,2921.9920481412
2376.92633194684,1858.05712584562,2895.79553804805,1583.38435986621,3170.46830402746
2527.23279322966,1966.254358853,3088.21122760632,1669.29031393919,3385.17527252013
2664.41917510956,2082.71425350018,3246.12409671895,1774.77826901025,3554.06008120887
2773.83178439239,2184.75750214171,3362.90606664308,1872.92041377619,3674.74315500859
2848.09793883725,2257.76039608485,3438.43548158966,1945.25457800463,3750.94129966987
2886.27450267416,2295.92629402425,3476.62271132407,1983.41482975896,3789.13417558936
2892.36860506596,2301.20302703793,3483.53418309399,1988.25887356064,3796.47833657128
2873.58029098241,2280.77723753445,3466.38334443037,1966.96625693093,3780.19432503388
2838.56601239351,2244.10610683207,3433.02591795494,1929.41804170037,3747.71398308665
2795.94464483387,2200.44662701468,3391.44266265307,1885.20901844913,3706.68027121862
2753.18077489468,2157.34725795526,3349.01429183409,1841.93204688363,3664.42950290573
2715.89712871394,2120.05897382964,3311.73528359824,1804.64130757829,3627.15294984959
2687.59901503692,2091.57577779528,3283.62225227856,1776.06013486227,3599.13789521157
2669.74409426596,2072.99228736147,3266.49590117045,1757.09096294621,3582.39722558571
2662.06228870569,2063.95391101988,3260.17066639151,1747.33446141166,3576.79011599972
2663.02169154812,2063.08931356114,3262.9540695351,1745.50429651901,3580.53908657723
2670.34321357216,2068.40006252561,3272.28636461871,1749.75060652366,3590.93582062066
2681.48458023109,2077.61466647004,3285.35449399214,1757.94524389857,3605.02391656361
2694.03808280384,2088.50605232281,3299.57011328486,1767.95675830881,3620.11940729886
2706.01161240416,2099.15314495116,3312.87007985715,1777.90167761929,3634.12154718902
2715.9853496989,2108.12067734187,3323.85002205593,1786.33655730893,3645.63414208888
2723.15463008125,2114.54095474735,3331.76830541515,1792.3603364891,3653.9489236734
2727.28175356343,2118.0997557051,3336.46375142176,1795.6182856755,3658.94522145136
2728.58573023086,2118.9463251792,3338.22513528251,1796.22271840784,3660.94874205388
2727.59983527931,2117.55803432982,3337.6416362288,1794.62141203743,3660.57825852118
2725.02360759496,2114.59181142185,3335.45540376806,1791.44873812885,3658.59847706106
2721.59001353581,2110.74863997639,3332.43138709523,1787.38874951201,3655.7912775596
2717.96135152006,2106.66785003471,3329.25485300542,1783.06861750391,3652.85408553622
2714.66033437399,2102.85811946286,3326.46254928512,1778.98959031143,3650.33107843654
2712.03658597714,2099.66435262556,3324.40881932872,1775.49407393907,3648.5790980152
2710.26410281965,2097.26473131023,3323.26347432908,1772.76246573679,3647.76573990251
2709.36229440942,2095.68996923257,3323.03461958627,1770.83146350645,3647.89312531239
2709.23197673731,2094.85639816319,3323.60755531143,1769.62561257628,3648.83834089834
2709.69788925171,2094.60522261347,3324.79055588996,1768.99483353553,3650.40094496789
2710.55055446727,2094.74157681904,3326.35953211549,1768.75199559769,3652.34911333684
2711.58217498529,2095.06860464027,3328.09574533031,1768.70603457579,3654.45831539479
2712.61336400826,2095.41348771381,3329.8132403027,1768.68760922552,3656.53911879099
2713.50950160473,2095.64402713448,3331.37497607498,1768.56580225556,3658.4532009539
2714.18716542214,2095.67588775957,3332.69844308471,1768.25579532129,3660.11853552299
2714.61226950988,2095.4717973354,3333.75274168435,1767.7186294421,3661.50590957766
2714.79222109662,2095.03475479088,3334.54968740236,1766.95496993392,3662.62947225932
2714.76461102812,2094.3976154281,3335.13160662813,1765.9951652535,3663.53405680274
2714.58477944158,2093.61133343722,3335.55822544593,1764.88784781085,3664.28171107231
2714.31416158974,2092.73375838973,3335.89456478975,1763.68896903247,3664.93935414701
2714.01074201748,2091.82033106136,3336.2011529736,1762.45262310406,3665.5688609309
2713.72233878989,2090.91742837423,3336.52724920556,1761.22442405272,3666.22025352707
2713.48288984051,2090.05856418187,3336.90721549915,1760.03766123758,3666.92811844344
2713.31147838733,2089.2632234696,3337.35973330505,1758.91203232676,3667.71092444789
2713.2135420613,2088.53781951932,3337.88926460328,1757.85446708055,3668.57261704205
2713.18356350158,2087.87811663258,3338.48901037058,1756.8614082716,3669.50571873156
2713.20852164257,2087.2724366002,3339.14460668495,1755.92188855597,3670.49515472918
2713.27146317798,2086.70503644352,3339.83788991244,1755.02080566376,3671.5221206922
2713.35469762793,2086.15917542354,3340.55021983231,1754.1419216184,3672.56747363745
2713.44229237897,2085.61954924471,3341.26503551323,1753.27026473577,3673.61432002217
